Symbol	Name	Last Trade	Change	Volume
3IN.L	3iInfrastructure plc	197.00 16:49	Up 0.50(0.25%)	580,261
AA.L	AA plc	260.30 16:59	Up 0.30(0.12%)	1,479,957
ACA.L	Acacia Mining plc	542.50 16:59	Up 24.50(4.73%)	2,074,059
ADN.L	Aberdeen Asset Management PLC	310.20 16:54	Down 1.10 (0.35%)	5,091,402
AGK.L	Aggreko plc	813.00 16:55	Up 12.50(1.56%)	1,505,943
AGR.L	Assura Plc	58.30 16:35	Up 0.15(0.26%)	6,149,495
ALD.L	Aldermore Group PLC	189.50 16:39	Up 2.50(1.34%)	1,542,666
ALM.L	Allied Minds plc	346.30 16:35	Up 6.20(1.82%)	111,198
AMFW.L	Amec Foster Wheeler plc	428.40 16:49	Up 13.80(3.33%)	2,961,637
AO.L	AO World Plc	164.00 16:39	Up 5.00(3.14%)	215,731
ASCL.L	Ascential Group Limited	295.00 16:35	Up 3.30(1.13%)	114,113
ASHM.L	Ashmore Group PLC	332.70 16:35	Down 4.40 (1.31%)	1,687,997
ASL.L	Aberforth Smaller Companies Trust Plc	1,019.00 16:35	Up 7.00(0.69%)	56,537
ATK.L	WS Atkins plc	1,613.00 16:48	Up 53.00(3.40%)	347,075
ATST.L	Alliance Trust PLC	578.50 16:49	Up 1.00(0.17%)	550,650
AUTO.L	Auto Trader Group plc	386.00 16:49	Up 15.60(4.21%)	4,195,207
AVV.L	AVEVA Group plc	1,698.00 16:49	Down 77.00 (4.34%)	261,753
BAG.L	A.G.Barr p.l.c.	505.00 16:36	Up 6.40(1.28%)	806,359
BBA.L	BBA Aviation plc	249.00 16:48	Up 1.70(0.69%)	2,693,253
BBOX.L	Tritax Big Box REIT plc	134.70 16:37	Down 0.80 (0.59%)	3,031,945
BBY.L	Balfour Beatty plc	281.30 16:51	Up 19.20(7.33%)	4,098,190
BGEO.L	BGEO Group plc	2,891.00 16:35	Down 24.00 (0.82%)	60,481
BHMG.L	BH Macro Limited	1,889.00 16:35	Up 14.00(0.75%)	29,197
BME.L	B&M European Value Retail S.A.	233.90 16:49	Up 1.40(0.60%)	2,034,782
BNKR.L	The Bankers Investment Trust PLC	678.50 16:35	Down 4.00 (0.59%)	197,438
BOK.L	Booker Group PLC	176.90 16:49	Down 1.70 (0.95%)	3,430,726
BOY.L	Bodycote plc	586.00 16:49	Up 12.00(2.09%)	372,512
BRSN.L	Berendsen plc	943.50 16:48	Down 11.50 (1.20%)	438,483
BRW.L	Brewin Dolphin Holdings plc	258.60 16:42	Down 1.20 (0.46%)	582,238
BTEM.L	British Empire Trust Plc	620.00 16:55	Down 9.00 (1.43%)	141,962
BTG.L	BTG plc	654.00 16:48	Up 20.00(3.15%)	766,601
BVIC.L	Britvic Plc	562.00 16:49	Down 2.00 (0.35%)	926,856
BVS.L	Bovis Homes Group PLC	802.50 16:49	Up 24.50(3.15%)	799,009
BWNG.L	N Brown Group plc	190.30 16:35	Up 1.70(0.90%)	463,462
BWY.L	Bellway plc	2,426.00 16:52	Up 75.00(3.19%)	493,328
BYG.L	Big Yellow Group plc	691.50 16:36	Up 0.50(0.07%)	277,787
CAPC.L	Capital & Counties Properties PLC	282.20 16:49	Down 0.20 (0.07%)	1,663,916
CARD.L	Card Factory PLC	252.90 16:49	Up 0.20(0.08%)	3,988,389
CBG.L	Close Brothers Group plc	1,315.00 16:39	Up 14.00(1.08%)	276,860
